DAY, TIME, API, PLATFORM, LANGUAGE, ACTIVITY, FILESIZE, LATENCY, MEMORY, CPUTIME
"2016-04-06","02:00:04","nativa","aws","python","upload","310","2800.27890205","27556","0.24"
"2016-04-06","02:00:05","multicloud","aws","python","upload","310","2506.23106956","19264","0.1"
"2016-04-06","02:00:07","nativa","aws","python","upload","310","2638.630867","27572","0.25"
"2016-04-06","02:00:08","multicloud","aws","python","upload","310","2169.01302338","19260","0.11"
"2016-04-06","02:00:10","nativa","aws","python","upload","310","2609.29894447","27564","0.24"
"2016-04-06","02:00:12","multicloud","aws","python","upload","310","2223.35910797","19264","0.12"
"2016-04-06","02:00:13","nativa","aws","python","upload","310","2671.24295235","27548","0.25"
"2016-04-06","02:00:16","multicloud","aws","python","upload","310","2736.82403564","19264","0.1"
"2016-04-06","02:00:16","nativa","aws","python","upload","310","2888.42391968","27468","0.25"
"2016-04-06","02:00:19","multicloud","aws","python","upload","310","2258.4528923","19316","0.11"
"2016-04-06","02:00:22","nativa","aws","python","upload","310","2813.39001656","27556","0.25"
"2016-04-06","02:00:23","multicloud","aws","python","upload","310","2426.03993416","19212","0.11"
"2016-04-06","02:00:25","nativa","aws","python","upload","310","2521.1520195","27488","0.25"
"2016-04-06","02:00:27","multicloud","aws","python","upload","310","2475.07095337","19316","0.11"
"2016-04-06","02:00:28","nativa","aws","python","upload","310","2804.92186546","27500","0.25"
"2016-04-06","02:00:30","multicloud","aws","python","upload","310","2431.45799637","19208","0.1"
"2016-04-06","02:00:31","nativa","aws","python","upload","310","2740.55099487","27588","0.24"
"2016-04-06","02:00:34","nativa","aws","python","upload","310","2661.57579422","27576","0.25"
"2016-04-06","02:00:34","multicloud","aws","python","upload","310","2465.66200256","19216","0.1"
"2016-04-06","02:00:37","nativa","aws","python","upload","310","2645.17188072","27560","0.25"
"2016-04-06","02:00:38","multicloud","aws","python","upload","310","2224.87211227","19224","0.1"
"2016-04-06","02:00:40","nativa","aws","python","upload","310","2624.18007851","27500","0.25"
"2016-04-06","02:00:41","multicloud","aws","python","upload","310","2235.85796356","19212","0.1"
"2016-04-06","02:00:43","nativa","aws","python","upload","310","2645.35498619","27568","0.25"
"2016-04-06","02:00:45","multicloud","aws","python","upload","310","2214.51997757","19244","0.11"
"2016-04-06","02:00:46","nativa","aws","python","upload","310","2808.14886093","27480","0.25"
"2016-04-06","02:00:48","multicloud","aws","python","upload","310","2499.92108345","19212","0.1"
"2016-04-06","02:00:49","nativa","aws","python","upload","310","2871.25015259","27484","0.24"
"2016-04-06","02:00:52","multicloud","aws","python","upload","310","2196.79999352","19216","0.11"
"2016-04-06","02:00:52","nativa","aws","python","upload","310","2648.79179001","27536","0.24"
"2016-04-06","02:00:55","nativa","aws","python","upload","310","2813.85612488","27504","0.25"
"2016-04-06","02:00:56","multicloud","aws","python","upload","310","2402.08411217","19264","0.1"
"2016-04-06","02:00:58","nativa","aws","python","upload","310","2807.64102936","27560","0.24"
"2016-04-06","02:00:59","multicloud","aws","python","upload","310","2267.61198044","19292","0.1"
"2016-04-06","02:01:01","nativa","aws","python","upload","310","2651.32403374","27528","0.24"
"2016-04-06","02:01:03","multicloud","aws","python","upload","310","2361.07611656","19268","0.1"
"2016-04-06","02:01:04","nativa","aws","python","upload","310","2624.49502945","27500","0.24"
"2016-04-06","02:01:06","multicloud","aws","python","upload","310","2349.62391853","19324","0.11"
"2016-04-06","02:01:07","nativa","aws","python","upload","310","2645.63417435","27560","0.25"
"2016-04-06","02:01:10","multicloud","aws","python","upload","310","2356.51898384","19220","0.11"
"2016-04-06","02:01:10","nativa","aws","python","upload","310","2686.42401695","27552","0.24"
"2016-04-06","02:01:13","nativa","aws","python","upload","310","2918.13707352","27596","0.24"
"2016-04-06","02:01:14","multicloud","aws","python","upload","310","2512.21609116","19136","0.11"
"2016-04-06","02:01:16","nativa","aws","python","upload","310","2506.30712509","27580","0.24"
"2016-04-06","02:01:17","multicloud","aws","python","upload","310","2377.16197968","19268","0.1"
"2016-04-06","02:01:19","nativa","aws","python","upload","310","2582.04507828","27488","0.24"
"2016-04-06","02:01:21","multicloud","aws","python","upload","310","2454.05888557","19296","0.11"
"2016-04-06","02:01:22","nativa","aws","python","upload","310","2706.0880661","27536","0.24"
"2016-04-06","02:01:24","multicloud","aws","python","upload","310","2164.62182999","19328","0.11"
"2016-04-06","02:01:25","nativa","aws","python","upload","310","2628.1042099","27568","0.25"
"2016-04-06","02:01:27","nativa","aws","python","upload","310","2434.51595306","27548","0.24"
"2016-04-06","02:01:28","multicloud","aws","python","upload","310","2473.08802605","19180","0.11"
"2016-04-06","02:01:30","nativa","aws","python","upload","310","2662.90402412","27484","0.24"
"2016-04-06","02:01:32","multicloud","aws","python","upload","310","2424.45898056","19208","0.11"
"2016-04-06","02:01:33","nativa","aws","python","upload","310","2782.21011162","27576","0.24"
"2016-04-06","02:01:35","multicloud","aws","python","upload","310","2507.85493851","19200","0.11"
"2016-04-06","02:01:36","nativa","aws","python","upload","310","2634.01794434","27580","0.24"
"2016-04-06","02:01:39","multicloud","aws","python","upload","310","2305.4189682","19136","0.11"
"2016-04-06","02:01:39","nativa","aws","python","upload","310","2606.08887672","27556","0.24"
"2016-04-06","02:01:42","nativa","aws","python","upload","310","2634.28497314","27536","0.25"
"2016-04-06","02:01:42","multicloud","aws","python","upload","310","2221.06909752","19248","0.1"
"2016-04-06","02:01:45","nativa","aws","python","upload","310","2834.05995369","27552","0.24"
"2016-04-06","02:01:46","multicloud","aws","python","upload","310","2174.55101013","19248","0.11"
"2016-04-06","02:01:48","nativa","aws","python","upload","310","2684.9770546","27500","0.24"
"2016-04-06","02:01:49","multicloud","aws","python","upload","310","2402.87613869","19248","0.1"
"2016-04-06","02:01:52","nativa","aws","python","upload","310","3142.66991615","27484","0.24"
"2016-04-06","02:01:53","multicloud","aws","python","upload","310","2233.48999023","19180","0.1"
"2016-04-06","02:01:54","nativa","aws","python","upload","310","2401.01504326","27500","0.25"
"2016-04-06","02:01:56","multicloud","aws","python","upload","310","2224.94411469","19248","0.11"
"2016-04-06","02:01:57","nativa","aws","python","upload","310","2391.34788513","27552","0.25"
"2016-04-06","02:02:00","nativa","aws","python","upload","310","2409.56521034","27560","0.25"
"2016-04-06","02:02:00","multicloud","aws","python","upload","310","2421.14710808","19260","0.11"
"2016-04-06","02:02:03","nativa","aws","python","upload","310","2669.73495483","27564","0.24"
